Record Type,Roger Federer,Rafael Nadal,Novak Djokovic
Overall  record vs  Federer,NA,24-16,27-23
Clay  record vs  Federer,NA,14-2,4-4
Grass record vs Federer,NA,1-3,3-1
Hard record vs Federer,NA,9-11,20-18
Overall record vs Nadal,16-24,NA,29-27
Clay record vs Nadal,2-14,NA,7-18
Grass record vs Nadal,3-1,NA,2-2
Hard record vs Nadal,11-9,NA,20-7
Overall record vs Djokovic,23-27,27-29,NA
Clay record vs Djokovic,4-4,18-7,NA
Grass record vs Djokovic,1-3,2-2,NA
Hard record vs Djokovic,18-20,7-20,NA